t	F18
16.43	19475
16.44	19397
16.45	19321
16.46	19239
16.47	19165
16.48	19104
16.49	19033
16.5	18956
16.51	18900
16.52	18821
16.53	18737
16.54	18654
16.55	18597
16.56	18530
16.57	18464
16.58	18396
16.59	18316
16.6	18247
16.61	18184
16.62	18113
16.63	18054
16.64	17980
16.65	17900
16.66	17824
16.67	17762
16.68	17693
16.69	17626
16.7	17538
16.71	17469
16.72	17393
16.73	17328
16.74	17256
16.75	17183
16.76	17125
16.77	17057
16.78	17005
16.79	16925
16.8	16870
16.81	16814
16.82	16744
16.83	16678
16.84	16612
16.85	16555
16.86	16491
16.87	16425
16.88	16365
16.89	16314
16.9	16243
16.91	16179
16.92	16118
16.93	16064
16.94	16005
16.95	15951
16.96	15883
16.97	15827
16.98	15774
16.99	15716
17	15666
17.01	15603
17.02	15561
17.03	15490
17.04	15410
17.05	15360
17.06	15304
17.07	15253
17.08	15202
17.09	15141
17.1	15084
17.11	15030
17.12	14972
17.13	14911
17.14	14877
17.15	14817
17.16	14755
17.17	14721
17.18	14656
17.19	14602
17.2	14550
17.21	14492
17.22	14441
17.23	14395
17.24	14344
17.25	14288
17.26	14227
17.27	14176
17.28	14132
17.29	14069
17.3	14025
17.31	13970
17.32	13916
17.33	13870
17.34	13811
17.35	13761
17.36	13704
17.37	13645
17.38	13588
17.39	13535
17.4	13489
17.41	13434
17.42	13393
17.43	13338
17.44	13288
17.45	13231
17.46	13173
17.47	13132
17.48	13056
17.49	13000
17.5	12954
17.51	12905
17.52	12851
17.53	12805
17.54	12752
17.55	12698
17.56	12655
17.57	12595
17.58	12540
17.59	12496
17.6	12451
17.61	12406
17.62	12357
17.63	12305
17.64	12268
17.65	12211
17.66	12156
17.67	12112
17.68	12067
17.69	12026
17.7	11994
17.71	11935
17.72	11885
17.73	11834
17.74	11778
17.75	11732
17.76	11689
17.77	11640
17.78	11580
17.79	11537
17.8	11483
17.81	11440
17.82	11404
17.83	11356
17.84	11317
17.85	11265
17.86	11219
17.87	11179
17.88	11131
17.89	11084
17.9	11043
17.91	10999
17.92	10951
17.93	10918
17.94	10879
17.95	10844
17.96	10800
17.97	10760
17.98	10724
17.99	10679
18	10653
18.01	10615
18.02	10584
18.03	10544
18.04	10507
18.05	10479
18.06	10432
18.07	10389
18.08	10351
18.09	10314
18.1	10277
18.11	10243
18.12	10216
18.13	10184
18.14	10145
18.15	10103
18.16	10073
18.17	10041
18.18	10007
18.19	9969
18.2	9934
18.21	9897
18.22	9854
18.23	9819
18.24	9766
18.25	9728
18.26	9681
18.27	9648
18.28	9614
18.29	9578
18.3	9534
18.31	9485
18.32	9454
18.33	9423
18.34	9389
18.35	9355
18.36	9321
18.37	9286
18.38	9243
18.39	9206
18.4	9165
18.41	9120
18.42	9087
18.43	9052
18.44	9006
18.45	8976
18.46	8940
18.47	8898
18.48	8864
18.49	8827
18.5	8796
18.51	8752
18.52	8714
18.53	8679
18.54	8642
18.55	8611
18.56	8580
18.57	8540
18.58	8510
18.59	8477
18.6	8446
18.61	8414
18.62	8385
18.63	8355
18.64	8333
18.65	8305
18.66	8271
18.67	8245
18.68	8213
18.69	8171
18.7	8135
18.71	8107
18.72	8071
18.73	8035
18.74	8001
18.75	7974
18.76	7941
18.77	7911
18.78	7875
18.79	7837
18.8	7816
18.81	7788
18.82	7757
18.83	7725
18.84	7693
18.85	7665
18.86	7640
18.87	7606
18.88	7577
18.89	7549
18.9	7526
18.91	7495
18.92	7466
18.93	7439
18.94	7402
18.95	7384
18.96	7355
18.97	7332
18.98	7309
18.99	7280
19	7249
19.01	7221
19.02	7201
19.03	7175
19.04	7149
19.05	7129
19.06	7100
19.07	7079
19.08	7050
19.09	7025
19.1	7002
19.11	6970
19.12	6942
19.13	6918
